MOA-2010-BLG-477L b,Confirmed,1.5,0.3,0.8,,,,,,,,,,2,1,1,,,,,,,0.00087,2012,23/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2010-BLG-477L,271.5291667,-31.4544444,,,,,,2300,600,600,,,,0.67,0.13,0.13,,,,K,,,,,,,,,
MOA-2011-BLG-028L b,Confirmed,0.094,0.038,0.05,,,,,,,,,,7.14,0.64,0.64,,,,,,,,2015,11/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2011-BLGL-028L,270.8583333,-29.21333335,,,,,,7380,620,520,,,,0.75,0.3,0.35,,,,,,,,,,,,,
MOA-2011-BLG-262L b,Confirmed,0.05663405,0.031463361,0.088097411,,,,,,,,,,0.84,0.25,0.14,,,,,,,,2013,22/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2011-BLG-262L,270.0958333,-30.75472221,,,,,,7350,350,350,,,,0.12,0.19,0.06,,,,,,,,,,,,,
MOA-2011-BLG-274 b,Confirmed,0.8,0.3,0.3,,,,,,,,,,40,,,,,,,,,,2014,09/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2011-BLG-274,268.675,-28.91638892,,,,,,800,250,250,,,,,,,,,,,,,,,,,,,
MOA-2011-BLG-291 b,Confirmed,0.085,0.053,0.148,,,,,,,,,,1.4,0.3,0.8,,,,,,,,2018,29/06/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2011-BLG-291,268.8666667,-29.17055556,,,,,,7000,1500,1500,,,,0.22,0.13,0.32,,,,,,,,,,,,,
MOA-2011-BLG-293L b,Confirmed,4.8,0.3,0.3,,,,,,,,,,1.1,0.1,0.1,,,,,,,0.00014,2012,15/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2011-BLG-293L,268.9125,-28.4769444,,,,,,7700,440,440,,,,0.86,0.06,0.06,,,,,,,,,,,,,
MOA-2011-BLG-322L b,Confirmed,7.8,8.6,4.3,,,,,,,,,,3.6,1.5,1.3,,,,,,,,2013,27/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2011-BLG-322,271.225,-27.2208,,,,,,7740,970,910,,,,0.31,0.34,0.17,,,,,,,,,,,,,
MOA-2012-BLG-006 b,Confirmed,8.4,3.9,4.6,,,,,,,,,,10.2,2.4,1.8,,,,,,,,2017,28/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2012-BLG-006,270.4416667,-29.1088889,,,,,,5300,1300,800,,,,0.49,0.23,0.27,,,,,,,,,,,,,
MOA-2012-BLG-505L b,Confirmed,6.7,3.5,10.6,,,,,,,,,,1.12,0.32,0.67,,,,,,,,2017,03/04/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2012-BLG-505L,268.1416667,-32.04000001,,,,,,7210,1100,1100,,,,,,,,,,M,,,,0.1,0.05,0.16,,,
MOA-2013-BLG-220L b,Confirmed,0.188780165,,,,,,,,,,,,0.7,,,,,,,,,,2014,11/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2013-BLG-220L,270.9875,-28.45527776,,,,,,2000,,,,,,0.05,,,,,,Brown Dwarf,,,,,,,,,
MOA-2013-BLG-605L b,Confirmed,0.066,0.02,0.02,,,,,,,,,,4.2,0.9,0.9,,,,,,,,2015,02/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2013-BLG-605L,269.6791667,-29.39833335,,,,,,3600,800,600,,,,0.19,0.06,0.06,,,,,,,,,,,,,
MOA-2016-BLG-227L b,Confirmed,2.3,1.2,2.6,,,,,,,,,,1.64,0.36,0.93,,,,,,,,2017,28/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2016-BLG-227L,271.475,-27.71416669,,,,,,6400,1000,1000,,,,0.24,0.12,0.27,,,,,,,,,,,,,
MOA-bin-1 b,Confirmed,3.7,2.1,2.1,,,,,,,,,,8.3,4.5,4.5,,,,,,,0.001627,2012,22/03/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Microlensing,,,,,MOA-bin-1,267.7916667,-29.7938889,,23,,,,5100,1200,1200,,,,0.75,0.33,0.33,,,,,,,,,,,,,
OGLE-2003-BLG-235L b,Confirmed,2.6,0.8,0.8,,,,,,,,,,5.1,1.6,1.6,,,,,,,0.000981,2004,26/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,MOA-2003-BLG-53 b,,OGLE-2003-BLG-235L,271.3166667,-28.895,,19.7,,,,5200,,,,,,0.63,0.08,0.08,,,,,,,,,,,,,MOA-2003-BLG-53
