CoRoT-14 b,Confirmed,7.6,0.6,0.6,,,,1.09,0.07,0.07,1.51214,0.00013,0.00013,0.027,0.002,0.002,0,,,79.6,0.8,0.8,2.00E-05,2010,24/01/2014,,,,2454787.67,,,,,,2454787.669,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-14,103.425,-5.5361111,16.03,,,,,1340,110,110,0.05,0.15,0.15,1.13,0.09,0.09,1.21,0.08,0.08,F9V,4.2,3.8,3.8,6035,100,100,,,
CoRoT-15 b,Confirmed,63.4,4.1,4.3,63.3,4,4,1.12,0.15,0.3,3.06036,3.00E-05,3.00E-05,0.045,0.01,0.014,0,,,86.7,3.2,2.3,,2010,23/09/2015,,,,,,,,,,2454753.561,0.0011,0.0011,,,,,,,0.38,0.26,0.26,,,,7.36,0.11,0.11,1740,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-15,97.11666668,6.186241673,,,,,,,,,,,,,,,,,,F7V,,,,,,,,,2MASS J06282781+0611105
CoRoT-16 b,Confirmed,0.535,0.085,0.085,,,,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,7.40E-05,2010,24/01/2014,168.41,21,21,,,,,,,2454923.914,0.0022,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840,90,90,0.19,0.06,0.06,1.098,0.078,0.078,1.19,0.14,0.14,G5V,6.73,2.8,2.8,5650,100,100,,,
CoRoT-17 b,Confirmed,2.43,0.16,0.16,,,,1.02,0.07,0.07,3.768125,0.000257,0.000257,0.0461,0.0008,0.0008,0,,,88.34,1.54,1.54,5.00E-05,2010,24/01/2014,,,,,,,,,,2454923.309,0.003613,0.003613,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-17,278.6958333,-6.6122222,15.46,,,,,920,50,50,0,0.1,0.1,1.04,0.1,0.1,1.59,0.07,0.07,G2V,10.7,1,1,5740,80,80,,,
CoRoT-18 b,Confirmed,3.47,0.38,0.38,,,,1.31,0.18,0.18,1.9000693,2.80E-06,2.80E-06,0.0295,0.0016,0.0016,0.08,inf,nan,86.5,0.9,0.9,3.40E-05,2011,24/01/2014,,,,,,,,,,2455321.724,0.00018,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-18,98.17083335,0.031388901,14.99,,,,,870,90,90,-0.1,0.1,0.1,0.95,0.15,0.15,1,0.13,0.13,G9V,,,,5440,100,100,,,
CoRoT-19 b,Confirmed,1.11,0.06,0.06,,,,1.29,0.05,0.05,3.89713,2.00E-05,2.00E-05,0.0518,0.0008,0.0008,0.047,0.045,0.045,87.61,0.37,0.37,6.50E-05,2011,24/01/2014,86,60,60,,,,,,,2455257.441,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-19,97.03333334,0.170555562,14.78,,,,,800,200,200,-0.02,0.1,0.1,1.21,0.06,0.06,1.65,0.04,0.04,F9V,5,1,1,6090,70,70,,,
CoRoT-2 b,Confirmed,3.31,0.16,0.16,,,,1.465,0.029,0.029,1.7429964,1.70E-06,1.70E-06,0.0281,0.0009,0.0009,0,,,87.84,0.1,0.1,9.40E-05,2007,25/01/2014,,,,,,,,,,2454706.404,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-2,291.7791667,1.3838889,12.57,,,,,300,100,100,-0.04,0.08,0.08,0.97,0.06,0.06,0.902,0.018,0.018,G7V,,,,5575,66,66,,,
CoRoT-20 b,Confirmed,4.24,0.23,0.23,,,,0.84,0.04,0.04,9.24285,0,0,0.0902,0.0021,0.0021,0.562,0.013,0.013,88.21,0.53,0.53,7.30E-05,2011,10/07/2014,56.3,2.4,2.4,,,,,,,2455266,0.0014,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-20,97.730434,0.22692,14.66,,,,,1230,120,120,0.14,0.12,0.12,1.14,0.08,0.08,0.92,,,G2V,0.1,0.04,0.04,5880,90,90,,,
CoRoT-21 b,Confirmed,2.26,0.31,0.31,,,,1.3,0.14,0.14,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011,0,,,86.8,2.1,2.1,,2011,24/01/2014,,,,,,,,,,2454399.028,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-21,101.05245,-0.29913,16,,,,,,,,0,0.1,0.1,1.29,0.09,0.09,1.945,0.21,0.21,F8IV,4.1,0.5,0.5,6200,100,100,,,
CoRoT-22 b,Confirmed,0.0383853,0.027687758,0.044048705,,,,0.435365216,0.034793532,0.015166411,9.75598,0.00011,0.00011,0.092,0.0014,0.0014,0.077,0.042,0.3,89.749,0.9,0.032,0.000149,2011,28/08/2014,210,30,70,,,,,,,2454598.42,0.00051,0.00099,,,,,,,,,,,,,,,,885,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,CoRoT-22,280.6666667,6.225000011,11.93,,,,,592,42,25,0.17,0.12,0.07,1.099,0.049,0.049,1.136,0.09,0.038,G0IV,3.3,2,2,5939,120,54,,,
